,EVENT.DATE,INJURY.SEVERITY,AIRCRAFT.DAMAGE,AIRCRAFT.CATEGORY,MODEL,NUMBER.OF.ENGINES,ENGINE.TYPE,FAR.DESCRIPTION,AIR.CARRIER,TOTAL.FATAL.INJURIES,TOTAL.SERIOUS.INJURIES,WEATHER.CONDITION,BROAD.PHASE.OF.FLIGHT
3527,1982,Non-Fatal,Substantial,Airplane,PA-34-200,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Bankair, Inc.",0.0,0.0,VMC,Landing
3534,1982,Incident,Minor,Airplane,SA-226TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Gatx Third Aircraft Corp.,0.0,0.0,IMC,Takeoff
3557,1982,Incident,Minor,Airplane,727-223,3.0,Turbo Fan,Part 121: Air Carrier,American Airlines,0.0,0.0,IMC,Go-around
3566,1982,Fatal(1),Destroyed,Airplane,404,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Gregory Murnane Murnane Aviati,1.0,3.0,VMC,Takeoff
3577,1982,Fatal(1),Destroyed,Airplane,310R,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Skytel Aviaton, Inc.",1.0,0.0,VMC,Takeoff
3597,1982,Non-Fatal,Substantial,Airplane,210N,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Exchange,0.0,0.0,VMC,Cruise
3598,1982,Non-Fatal,Substantial,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,North American Helicopter Svc.,0.0,0.0,VMC,Landing
3599,1982,Non-Fatal,Substantial,Airplane,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Delaire Charter Service,0.0,0.0,VMC,Takeoff
30062,1992,Fatal(27),Destroyed,Airplane,28-4000,2.0,Turbo Fan,Part 121: Air Carrier,"Usair, Inc.",27.0,9.0,IMC,Takeoff
34275,1993,Non-Fatal,Substantial,Airplane,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Peninsula Airways (dba: Penair),0.0,0.0,VMC,Landing
51259,2001,Fatal(6),Destroyed,Helicopter,AS350-B2,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Papillon Grand Canyon Helicopters,6.0,1.0,VMC,Maneuvering
53379,2002,Fatal(2),Substantial,Airplane,A185F,1.0,Reciprocating,Part 135: Air Taxi & Commuter,C-air,2.0,2.0,VMC,Approach
57694,2004,Fatal(13),Destroyed,Airplane,Jetstream 32,2.0,Turbo Prop,Part 121: Air Carrier,Corporate Airlines,13.0,2.0,IMC,Approach
58138,2005,Non-Fatal,Substantial,Airplane,CL-600-1A11,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,Platinum Jet Managment,0.0,4.0,VMC,Takeoff
58219,2005,Fatal(1),Substantial,Helicopter,206-L1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Air Evac Lifeteam,1.0,3.0,VMC,Maneuvering
59584,2005,Incident,Minor,Airplane,A320,2.0,Turbo Jet,Part 121: Air Carrier,"Jet Blue Airways, Inc.",0.0,0.0,VMC,Takeoff
62142,2007,Fatal(4),Substantial,Helicopter,AS350BA,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Heli-usa Airways, Inc.",4.0,3.0,VMC,Maneuvering
